NombreLeccion,CanalYouTube,UrlYouTube,CursoNombre,CursoUrl,CursoId,LeccionId
Herramienta de Gestión de Proyectos,@ffbonta,https://youtube.com/watch?v=IbcmLarVdSA,Diplomado en Microsoft Project,https://edutin.com/curso-de-project,1920,142522
Uso de la I.A para el desarrollo de presentaciones en PowerPoint,💀 SALVAJE 💀,https://youtube.com/watch?v=xZzs7NQyMOI,Diplomado en Microsoft PowerPoint,https://edutin.com/curso-de-powerpoint,546,161393
Concepto de 3D,3D Basics,https://youtube.com/watch?v=9DdzxVcLRwY,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,91232
Ribbon y la barra de acceso rápido (QAT),3d4every1,https://youtube.com/watch?v=FgnQhtSZi0w,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104328
Steering Wheel,3d4every1,https://youtube.com/watch?v=FH91QUABrik,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104344
Entendiendo las jerarquías de los elementos,3d4every1,https://youtube.com/watch?v=hFc3V3hOhaI,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104323
Modificadores I,3DISEC,https://youtube.com/watch?v=1X2DReVE0k0,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104437
Modificadores II,3DISEC,https://youtube.com/watch?v=dzkcvG1qIk0,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,113587
Configuración de las reglas e interfaz de Outlook,A un paso de la ciencia,https://youtube.com/watch?v=PTeoCPfMaIw,Diplomado en Microsoft Outlook,https://edutin.com/curso-de-outlook-1925,1925,141642
Configuración de la cantidad de workers,Abdulrhman Gamal,https://youtube.com/watch?v=eBd4HjCwtBk,Diplomado en Administración de Servidores Web con NGINX,https://edutin.com/curso-de-nginx-4087,4087,91482
Configuración de permisos y propietarios de archivos,Abilia VG,https://youtube.com/watch?v=PeEbUup7iFw,CentOS 7,https://edutin.com/curso-de-centos-7-3841,3841,158659
Diferencias entre programar y planificar un proyecto,Academia Control de Proyectos,https://youtube.com/watch?v=zlzgtykC1x4,Diplomado en Microsoft Project,https://edutin.com/curso-de-project,1920,142589
Compartir link,Academia G - Tutoriales Google Workspace,https://youtube.com/watch?v=s5ygUxxcg6s,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141493
"Conceptos, tipología, funciones y clasificaciones de los proyectos",ACEDES Desarrollo Social y Económico,https://youtube.com/watch?v=MltNXoX_v0E,Diplomado en Microsoft Project,https://edutin.com/curso-de-project,1920,142478
Cómo idear proyectos creativos,Activa tus ideas,https://youtube.com/watch?v=XSE6goX9NNY,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,147343
Concepto de gráficos vectoriales,Adriana Gastaldi,https://youtube.com/watch?v=iVjkfmzfmvo,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111152
Fotos en manual,Ainara Garcia,https://youtube.com/watch?v=QSO0hVTutWw,Diplomado en Fotografía profesional,https://edutin.com/curso-de-fotografia-4300,4300,100976
Concepto de fragmentación,AirXander,https://youtube.com/watch?v=_vYqiNshmj0,Diplomado en Sistema Operativo Windows,https://edutin.com/curso-de-windows,3581,76746
Configuración de NAT en routers,Alan Yair Solano Cuevas,https://youtube.com/watch?v=SNhNpw-sPmA,fundamentos de cisco packet tracer,https://edutin.com/curso-de-Cisco-Packet-Tracer,571,163387
Verificación y solución de problemas en tabla de enrutamiento,Albert redes,https://youtube.com/watch?v=voZt9ZZB44U,fundamentos de cisco packet tracer,https://edutin.com/curso-de-Cisco-Packet-Tracer,571,163375
Relación de CRM y gestión de proyectos,Alberto Vázquez,https://youtube.com/watch?v=nLdVOXsbOuI,Diplomado en CRM,https://edutin.com/curso-de-crm-2741,2741,145964
Access Points:  Tipos y estados,AlbertoLopez TECH TIPS,https://youtube.com/watch?v=aD2_VK9bptQ,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93871
Concepto de imágen,AlbertoLopez TECH TIPS,https://youtube.com/watch?v=FAJ1o3hb35s,Docker Profesional,https://edutin.com/curso-de-docker-3986,3986,112333
Importancia de las herramientas en la gestión de proyectos,Aleja Melo,https://youtube.com/watch?v=8TLQPj7sngc,Diplomado en Microsoft Project,https://edutin.com/curso-de-project,1920,142523
Utilización de las puertas y ventanas,Alejandra Baca,https://youtube.com/watch?v=vqd1WV1vzcg,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104311
Instalación de ArchiCAD,Alex DM Estudio,https://youtube.com/watch?v=EwtQjTtMqtc,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,105811
Montaje en la postproducción (Cortes y transiciones),Alex S.M.,https://youtube.com/watch?v=YHH-BmXpQ6k,Diplomado en Producción Audiovisual,https://edutin.com/curso-de-produccion-audiovisual-2081,2081,113400
Técnicas básicas de escaneo con Nmap,Alexander Tutoriales,https://youtube.com/watch?v=m_0E6aBeuQU,Diplomado en Pentest,https://edutin.com/curso-de-pentest-4369,4369,108971
Crear personaje Flat design,AlexDG Tutoriales,https://youtube.com/watch?v=3gBSFOKY1Hs,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111355
Adaptar texto a una forma,AlexDG Tutoriales,https://youtube.com/watch?v=sxxBUiRshAY,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111281
Introducción a la interfaz,Altatec Seguridad,https://youtube.com/watch?v=3N3e3wC1-pg,fundamentos de cisco packet tracer,https://edutin.com/curso-de-Cisco-Packet-Tracer,571,140979
IPV4,Altatec Seguridad,https://youtube.com/watch?v=Ao0GAXJx7oU,fundamentos de cisco packet tracer,https://edutin.com/curso-de-Cisco-Packet-Tracer,571,141050
Asignación de direcciones ip y configuración,Altatec Seguridad,https://youtube.com/watch?v=Ao0GAXJx7oU,fundamentos de cisco packet tracer,https://edutin.com/curso-de-Cisco-Packet-Tracer,571,163372
Servidor DHCP,Altatec Seguridad,https://youtube.com/watch?v=JA1suf3o_Bw,fundamentos de cisco packet tracer,https://edutin.com/curso-de-Cisco-Packet-Tracer,571,141032
Formas de Detectar intrusos en Windows,Alvaro Chirou,https://youtube.com/watch?v=DM5bzxNTCks,Diplomado en Sistema Operativo Windows,https://edutin.com/curso-de-windows,3581,147223
Distorsionar con envolvente,Alx Marroquín,https://youtube.com/watch?v=LgXWTurQKEU,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111334
Vectorizar dibujo hecho a mano,Alx Marroquín,https://youtube.com/watch?v=LSE-wwAGKOE,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111253
Colorear dibujo hecho a mano,Alx Marroquín,https://youtube.com/watch?v=SpalZ2HfTmY,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111254
Ventajas de usar VMware Workstation en la nube,Amazon Web Services Latin America,https://youtube.com/watch?v=oy__tBpZHHI,VMware Workstation,https://edutin.com/curso-de-vmware-workstation-3835,3835,159074
Importancia de metodologías para el desarrollo de proyectos,Andrea Gutierrez,https://youtube.com/watch?v=TEO7N_750qI,Diplomado en Microsoft Project,https://edutin.com/curso-de-project,1920,142504
Estilos de modelado 3D,Andres Cebrian,https://youtube.com/watch?v=bpsBi_9K94A,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,91244
Principios para crecer en el 3D,Andres Cebrian,https://youtube.com/watch?v=xoJjnRCaPyc,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,91245
Proceso de instalación paso a paso,Andres Mora,https://youtube.com/watch?v=rQFcE67BbaY,Zentyal,https://edutin.com/curso-de-zentyal-3840,3840,159233
Degradados,Andrés Ríos M.,https://youtube.com/watch?v=UKL9_pU4yv8,Editor de Gráficos Vectoriales con Adobe Illustrator,https://edutin.com/curso-de-illustrator-3738,3738,111264
Desfragmentar disco duro,Angel PC Tutoriales,https://youtube.com/watch?v=ZjVx_cGrlLQ,Diplomado en Sistema Operativo Windows,https://edutin.com/curso-de-windows,3581,76762
Tipos de sistemas operativos,Angel Pimienta,https://youtube.com/watch?v=H9rmglUXsnE,Diplomado en Sistema Operativo Windows,https://edutin.com/curso-de-windows,3581,147136
Exportar animación,Animacion 3D,https://youtube.com/watch?v=sIetoWdpfIU,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,147339
Introducción a la animación,ANIMATRÓPOLIS,https://youtube.com/watch?v=5MY3kY9ce9o,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,91248
Técnicas de la animación,ANIMATRÓPOLIS,https://youtube.com/watch?v=J9R7hBRzyYI,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,91252
Conceptos del pixel,Anteldetodos,https://youtube.com/watch?v=Aeu-f9Ye0tQ,Diplomado en Producción Audiovisual,https://edutin.com/curso-de-produccion-audiovisual-2081,2081,104072
Filtrado y seguridad,Antonio de Andrés Lema,https://youtube.com/watch?v=kESyHFFoX-E,Zentyal,https://edutin.com/curso-de-zentyal-3840,3840,159255
Asignación de direcciones IP,Antonio de Andrés Lema,https://youtube.com/watch?v=oiQjqe9_618,Zentyal,https://edutin.com/curso-de-zentyal-3840,3840,159244
Introducción a la simulación,Antonio Hoyos Chaverra,https://youtube.com/watch?v=WcWEXC8bmag,Experto en Desarrollo de Algoritmos,https://edutin.com/curso-de-programacion-avanzada-en-c,4217,95081
Dirección local única,Antonio Villarroel,https://youtube.com/watch?v=5Tu7HUoI43s,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93901
Representación hexadecimal,Antonio Villarroel,https://youtube.com/watch?v=dfX89veZtwk,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93897
Unicast de Enlace local (link-local),Antonio Villarroel,https://youtube.com/watch?v=XtdRu_I_5lg,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93900
Concepto de LEAD,ANUOR AGUILAR,https://youtube.com/watch?v=C_UwctqOxLg,Diplomado en CRM,https://edutin.com/curso-de-crm-2741,2741,107144
Crear gráficos animados,Aplus Class,https://youtube.com/watch?v=vy9c1K2-ci8,Diplomado en Microsoft PowerPoint,https://edutin.com/curso-de-powerpoint,546,146543
Tipos de datos,APM 2017,https://youtube.com/watch?v=hIaWrkmW4BU,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141544
Fórmula BANT,Apps Implantadores,https://youtube.com/watch?v=IdAEElK5hhA,Diplomado en CRM,https://edutin.com/curso-de-crm-2741,2741,107181
